TIME;LC_INIT
742.0045;-0.0036481177
742.025;-0.0028399485
742.0454;-0.0025113055
742.0658;-0.002070429
742.0863;-0.0013698671
742.1067;-0.0011621695
742.1271;-0.00029399013
742.1476;-0.00012078087
742.168;1.631562e-05
742.1884;0.000893923
742.2089;0.0008168726
742.2293;0.0016100551
742.2497;0.0019556747
742.2702;0.0021438368
742.2906;0.002261809
742.311;0.0026638666
742.3315;0.0027933843
742.3519;0.0032757926
742.3723;0.0032004355
742.3928;0.0036554325
742.4132;0.004247876
742.4336;0.003973255
742.4541;0.004741776
742.4745;0.0043560546
742.4949;0.0046893735
742.5154;0.0055231983
742.5358;0.0053103813
742.5562;0.005712908
742.5767;0.0052224267
742.5971;0.005577048
742.6175;0.0051269033
742.638;0.005190522
742.6584;0.005793278
742.6788;0.0059789713
742.6993;0.005641953
742.7197;0.005977454
742.7401;0.0060163424
742.7606;0.005556024
742.781;0.005873955
742.8014;0.00510157
742.8219;0.004956241
742.8423;0.0052718106
742.8627;0.005022621
742.8832;0.0049281204
742.9036;0.0045485566
742.924;0.004542786
742.9445;0.004426487
742.9649;0.004440234
742.9853;0.0036950053
743.0058;0.0035388516
743.0262;0.002813954
743.0466;0.002751166
743.0671;0.0024983897
743.0875;0.0022066555
743.1079;0.0015796768
743.1283;0.0014791487
743.1488;0.0013166463
743.1692;0.0014144819
743.1896;0.0010996464
743.2101;0.00061897776
743.2305;5.9092752e-05
743.2509;-0.00051657093
743.2714;
743.2918;-0.0011058259
743.3122;-0.0012962294
743.3327;-0.0014063603
743.3531;-0.0014101117
743.3735;-0.0013813314
743.394;-0.0019551283
743.4144;-0.001653811
743.4348;-0.002128467
743.4553;-0.0015555072
743.4757;-0.0012911966
743.4961;-0.0012440385
743.5166;-0.0012728433
743.537;-0.00046988297
743.5574;-5.664007e-06
743.5779;2.847961e-05
743.5983;0.00061217207
743.6187;0.0010172627
743.6392;0.0013170302
743.6596;0.0012730138
743.68;0.0017648014
743.7005;0.0018284657
743.7209;0.0022616135
743.7413;0.0027483578
743.7618;0.0027520806
743.7822;0.0032923396
743.8026;0.0034688888
743.8231;0.003665445
743.8435;0.0042399433
743.8639;0.0044297483
743.8844;0.004160362
743.9048;0.004870437
743.9252;0.0046272385
743.9457;0.0046482007
743.9661;0.0048074247
743.9865;0.0051527317
744.007;0.004886028
744.0274;0.0047753155
744.0478;0.0048654885
744.0683;0.004815123
744.0887;0.0042256177
744.1091;0.0041156365
744.1296;0.003835593
